"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000007372.24","113","4","36","1","367","7","111","52","0","201","1","0","0","0","0","5","0","1","1"
"ENSG00000007376.8","1111","1639","1033","1982","1019","976","1441","932","618","2246","295","284","240","264","348","267","318","389","218"
"ENSG00000007384.15","3124","1926","4460","3006","2750","2633","3693","2503","2798","1684","241","211","383","212","435","376","192","213","150"
"ENSG00000007392.17","2235","2728","1367","1583","3287","2207","1830","1695","1791","1572","558","428","491","519","947","522","422","427","427"
"ENSG00000007402.12","124","45","32","65","130","83","52","47","91245","28","17","38","15","30","22","42","32","31","26"
"ENSG00000007516.14","673","117","1675","1079","750","420","971","224","221","131","502","459","392","398","391","599","519","593","217"
"ENSG00000007520.4","1648","3853","1775","2213","1205","1181","2212","1337","970","2642","801","618","594","557","567","526","775","655","629"
"ENSG00000007541.17","2032","8098","2347","3900","1896","2121","3090","1721","1987","2465","1053","748","802","681","1136","792","1087","1046","901"
"ENSG00000007545.16","597","505","484","506","1048","1400","741","626","1171","635","93","108","128","106","173","110","102","127","102"
"ENSG00000007866.22","3270","1012","1063","490","2876","948","721","2100","3258","1446","317","349","558","508","489","451","446","501","276"
"ENSG00000007908.16","213","68","162","73","196","359","204","64","17","3","96","264","109","40","102","119","524","49","34"
"ENSG00000007923.16","753","134","784","795","1167","906","993","780","2006","752","558","379","675","473","547","508","826","1026","565"
"ENSG00000007933.13","1343","181","5565","1965","488","6059","26","51","92","255","36912","13934","17394","15886","25289","19174","39408","30971","32193"
"ENSG00000007944.15","965","268","849","349","1005","607","618","620","1996","486","84","149","86","149","180","187","131","135","113"
"ENSG00000007952.18","36","97","24","58","100","39","22","711","17","43","13","18","10","21","19","14","13","17","7"
"ENSG00000007968.7","50","13","130","239","294","150","110","158","125","192","13","11","4","3","12","6","9","8","7"
