"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000167195.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0"
"ENSG00000167196.14","2019","2336","2567","1085","1985","3376","2430","701","1478","1850","621","1027","693","1335","1439","1434","865","1415","787","1744","1777"
"ENSG00000167202.11","3443","1860","3676","2208","3960","2447","4615","2630","3531","3500","1765","2656","1375","2006","3833","2145","2723","8383","1294","4630","4797"
"ENSG00000167207.14","61","1994","54","2295","655","129","1971","870","941","64","2620","807","21","36","105","274","42","180","109","195","38"
"ENSG00000167208.15","296","69","99","169","537","111","132","78","604","88","252","40","83","20","215","52","35","173","53","494","107"
"ENSG00000167210.17","21","33","64","5","9","4","8","22","20","4","7","1","5","2","7","14","16","79","4","66","12"
"ENSG00000167216.17","57","61","149","89","200","263","287","91","225","46","61","22","61","90","140","211","108","218","77","139","589"
"ENSG00000167220.12","26","57","68","54","72","192","157","31","78","78","24","39","23","38","74","73","58","67","27","58","106"
"ENSG00000167232.14","3755","737","982","1827","3600","4800","1307","721","2104","214","1111","979","960","1857","2079","1987","1492","2646","1150","3556","4362"
"ENSG00000167244.21","70","27","53","10","65","41","22","240","36","7","7","7","3","12","40","41","263","834","8","9","13"
"ENSG00000167257.11","1068","837","797","908","1916","2667","914","513","908","1153","625","531","638","637","834","903","773","1180","657","972","1125"
"ENSG00000167258.15","13263","2786","17128","5268","11907","15769","9759","3058","6202","24901","3370","3932","1610","2776","3129","2751","3283","6040","1561","9309","10494"
"ENSG00000167261.14","40","32","34","46","86","53","46","107","208","12","65","43","32","40","202","51","67","158","22","182","45"
"ENSG00000167264.18","708","1841","788","684","1070","1438","862","457","744","554","575","642","199","354","361","350","186","486","216","595","866"
"ENSG00000167272.11","1315","752","1400","520","759","652","819","542","883","2019","385","438","329","378","462","410","301","559","294","906","438"
"ENSG00000167280.17","1007","1381","2205","301","1322","1188","2737","735","1246","1846","346","282","569","1011","1290","1367","1034","1844","585","1678","1093"
"ENSG00000167281.19","7","6","3","117","4","8","47","7","84","18","351","264","3","12","5","45","419","243","3","72","3"
"ENSG00000167283.8","1341","2528","1361","977","2992","2673","925","991","2156","2476","897","1146","1180","1442","1965","1768","1320","1987","1892","1989","1584"
"ENSG00000167286.10","65","124","42","135","699","136","82","55","630","195","226","25","140","33","180","106","56","33","96","570","68"
"ENSG00000167291.16","6791","1365","9355","2500","10513","8740","8952","5046","8358","6494","2251","2533","1868","3698","3447","3164","4704","13067","1420","3541","10163"
"ENSG00000167302.11","778","556","934","437","621","881","941","457","571","504","348","300","203","462","549","593","336","598","287","381","217"
"ENSG00000167306.20","7862","1525","19646","13753","11988","17526","7572","1127","14040","7509","11340","8610","1674","6224","4067","2683","1769","596","2931","6656","24634"
"ENSG00000167311.14","18","18","16","1","13","4","16","19","11","24","2","1","18","6","13","15","12","20","1","24","3"
"ENSG00000167315.18","3146","592","26331","875","4086","4647","747","2434","4707","10712","2037","1251","557","625","1693","1201","1940","4145","1240","3727","9557"
"ENSG00000167323.11","4375","6604","4140","11872","6257","3147","8845","4034","6462","5352","10398","8008","2969","3519","5369","4865","4674","11605","3262","3040","7315"
"ENSG00000167325.15","3806","7121","6968","4229","4834","5112","13285","2429","6944","4871","2177","4003","1038","3678","1706","2352","1786","4594","1152","2623","5332"
"ENSG00000167332.9","23","4","3","0","4","8","1","11","4","6","0","2","2","1","7","4","23","44","1","15","4"
"ENSG00000167333.13","271","351","1013","471","753","681","1251","367","754","507","340","243","571","815","908","830","652","2401","509","983","1715"
"ENSG00000167346.7","0","0","0","0","0","0","0","0","1","0","0","1","0","7","2","2","0","0","1","25","1"
"ENSG00000167355.8","117","0","0","1","4","0","83","0","3","0","2","0","1","0","13","4","3","9","3","8","8"
"ENSG00000167359.8","0","0","0","0","0","2","1","0","0","1","0","0","0","1","2","0","0","0","0","0","2"
"ENSG00000167360.6","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","21","0"
"ENSG00000167363.14","3263","681","1728","245","2815","3133","865","500","911","808","238","260","2835","1026","1580","1590","1535","1425","1070","947","2396"
"ENSG00000167371.21","179","109","169","50","216","438","142","23","182","95","15","33","27","57","153","129","166","238","34","261","52"
"ENSG00000167377.18","57","27","47","37","78","139","59","16","40","21","16","34","12","26","50","52","54","65","35","16","73"
"ENSG00000167378.8","7310","1760","5463","2502","4500","12229","5874","2008","3437","4559","1797","2984","986","2076","1918","1910","2667","5840","982","2465","3609"
"ENSG00000167380.16","1123","358","743","545","1035","1666","896","384","868","1106","255","550","381","457","694","826","582","1263","393","835","1530"
"ENSG00000167384.10","859","338","541","506","835","1610","848","376","879","694","350","421","381","480","564","581","445","763","346","418","777"
"ENSG00000167390.8","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","54","0"
"ENSG00000167393.18","376","1217","642","937","1680","1421","2418","423","1130","1420","537","1149","258","504","423","456","300","447","221","517","284"
"ENSG00000167393.18_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167394.13","370","326","403","198","287","435","319","276","309","505","201","262","63","122","98","152","89","273","101","260","222"
"ENSG00000167395.10","3843","2539","3049","2403","3553","4269","4390","2009","3312","4679","1836","1878","948","1363","2038","2127","1483","3563","1051","2711","4944"
"ENSG00000167397.15","193","1747","269","94","329","474","279","506","289","493","70","101","191","118","268","296","234","451","247","246","271"
"ENSG00000167414.4","3","8","1","1","3","2","1","6","21","1","2","0","1","1","2","1","7","7","2","7","0"
"ENSG00000167419.11","264","14","2","1","9","12","10","4","5","9","2","2","0","0","2","4","6","3","3","193","3"
"ENSG00000167434.10","226","1","10","0","3","8","5","4","57","5","4","17","159","120","189","451","181","53","399","51","5"
"ENSG00000167447.12","1209","1081","1926","976","1614","1707","1416","744","941","2854","698","615","326","506","542","507","545","1493","368","780","1788"
"ENSG00000167459.17","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","21","0"
"ENSG00000167460.17","42331","73131","43314","36610","102083","49402","62613","39030","34257","53034","25306","39208","4194","13615","15294","7830","14077","51332","8051","15843","27497"
"ENSG00000167461.12","2144","2444","3301","1865","2625","3111","1731","1090","3051","3348","1269","1276","395","855","866","647","642","1221","621","1513","2754"
"ENSG00000167468.18","8183","6663","15409","6643","7821","17334","9858","9150","8077","9764","6689","6810","3665","4348","4217","5705","5197","8304","4583","5275","10411"
"ENSG00000167470.12","43223","7019","19988","11467","21382","34516","14598","6131","19128","10456","11224","13423","1749","4907","4856","3059","8214","16034","2478","6750","8903"
"ENSG00000167476.10","192","7","46","22","454","13","8","12","172","714","10","8","83","5","134","37","49","5","64","115","1111"
"ENSG00000167483.19","11","4","9","16","20","32","32","3","748","12","394","9","9","6","32","29","14","12","9","311","7"
"ENSG00000167487.12","735","1039","950","613","616","1449","1276","953","1020","891","415","603","446","596","784","772","1415","2760","524","412","1030"
"ENSG00000167491.17","8711","8078","15908","5862","14812","18521","9204","4189","9191","15766","4280","6119","2132","3790","3893","2847","2987","6392","2140","5585","10345"
"ENSG00000167494.9","2","0","1","0","0","6","0","0","3","0","2","1","0","1","0","1","1","0","0","1","1"
"ENSG00000167508.12","1371","6358","2013","4264","3498","5772","2515","1452","3003","2746","1875","2895","623","1008","899","905","566","830","648","966","6564"
"ENSG00000167513.9","1103","3298","3198","1072","3625","3045","4241","1292","2840","4833","573","707","49","771","141","308","73","146","69","1020","2298"
"ENSG00000167515.10","1015","3817","2707","1522","2106","2604","1094","1518","1893","2636","1107","1780","1083","863","1063","1243","923","1533","991","1324","2069"
"ENSG00000167522.16","17910","19681","17181","12811","43073","29552","29667","8068","12927","12656","8473","10777","7974","10896","12369","12572","13603","25363","7684","11225","17625"
"ENSG00000167523.14","342","1109","1232","277","560","1214","689","274","602","467","133","247","155","404","236","333","191","321","175","301","561"
"ENSG00000167524.16","452","71","736","276","653","1348","766","178","380","12070","130","159","125","296","292","276","175","289","101","4865","248"
"ENSG00000167525.14","166","18","157","61","124","641","230","77","261","13372","37","63","49","58","142","103","66","89","58","6137","173"
"ENSG00000167526.14","83647","160188","86980","62815","159775","88049","41834","55306","65271","58641","78791","68550","39510","24738","33774","36830","39000","62707","24591","43829","109051"
"ENSG00000167528.13","1254","930","1594","983","2277","2125","5287","1382","1396","849","934","924","884","1100","1490","1471","1311","3893","784","1410","1101"
"ENSG00000167531.6","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","2","0","13","0"
"ENSG00000167535.8","1145","940","2287","2866","1226","1279","2080","1465","1915","583","2011","584","133","623","517","378","548","1590","156","550","929"
"ENSG00000167536.14","192","87","609","125","119","578","488","209","307","743","155","237","79","75","96","139","51","165","32","121","270"
"ENSG00000167543.16","2366","1593","3863","836","2965","2865","1589","1669","1735","3713","712","1502","604","1029","1306","1159","716","1633","767","990","2550"
"ENSG00000167548.16","22060","4747","17680","12965","23542","24424","41652","6750","13990","17081","10973","8494","4367","10508","12915","11250","11744","21390","5006","14785","12574"
"ENSG00000167549.18","114","754","258","95","102","47","237","224","97","47","74","196","22","36","126","97","280","1471","11","32","20"
"ENSG00000167550.11","33","59","45","34","90","88","123","54","76","84","15","13","4","12","21","24","11","41","6","109","28"
"ENSG00000167552.14","1897","2985","2898","2576","2688","1910","5412","12569","10502","1259","2564","2551","1023","1459","3042","1584","9023","28998","903","1291","943"
"ENSG00000167553.16","17886","13629","17041","24644","18334","13937","17076","11594","16428","32526","21613","17811","1003","4220","2036","1461","1215","2890","1576","10171","7070"
"ENSG00000167554.15","58","2","14","42","15","38","24","53","40","6","22","34","53","110","126","173","107","294","63","58","8"
"ENSG00000167555.14","721","82","121","700","287","120","1988","333","352","62","285","515","376","756","1220","1429","1065","1924","474","342","63"
"ENSG00000167562.13","1030","123","76","431","1296","1977","154","205","401","225","257","146","216","439","660","548","358","735","286","440","223"
"ENSG00000167565.13","1634","1691","1501","701","945","2603","739","768","1161","1281","396","841","333","477","620","648","600","1665","538","563","945"
"ENSG00000167566.17","1523","1325","2787","1072","2209","1390","3697","2613","1591","1998","778","928","622","1240","1662","1907","1771","5509","1018","880","549"
"ENSG00000167578.18","80","93","104","58","76","179","279","21","100","105","18","30","20","58","94","109","39","115","12","252","71"
"ENSG00000167580.8","258","0","0","0","16","0","19","0","73","51","0","0","2","14","8","2","3","2","0","12","373"
"ENSG00000167588.13","3487","7","694","27","1047","2744","26","10","959","261","42","43","107","130","214","71","74","283","89","1299","2655"
"ENSG00000167595.15","3510","1268","2273","1023","1588","4256","2891","667","2194","2396","597","1167","244","973","868","870","963","2103","316","1108","2062"
"ENSG00000167600.14","20195","2328","19128","3363","37914","25353","15210","1371","27221","43450","1103","4545","2036","20393","7415","2903","2321","304","8779","12493","18843"
"ENSG00000167601.12","946","591","3057","1228","3261","1526","1797","6061","2186","1353","970","1022","961","1694","2717","1648","8150","18799","685","1109","441"
"ENSG00000167604.15","378","475","465","219","640","2005","533","182","627","419","221","239","88","173","216","182","364","457","82","626","281"
"ENSG00000167608.12","14368","2129","7578","3682","5093","4338","2237","537","6836","3909","946","2864","3478","3065","4826","4317","1814","139","3609","9433","17140"
"ENSG00000167612.13","4","1","2","0","235","1","0","0","58","4","1","0","2","0","3","2","2","1","0","74","0"
"ENSG00000167613.16","93","497","601","372","1379","391","315","1196","1053","157","284","75","166","128","635","189","197","2413","159","774","178"
"ENSG00000167614.14","235","71","31","164","325","179","364","92","57","227","91","66","36","39","66","62","171","188","22","323","70"
"ENSG00000167615.17","15456","7397","12361","5850","22354","28290","16380","5775","11110","11967","4326","4327","4299","7514","11200","10202","8866","15457","3535","17097","7724"
"ENSG00000167617.3","2301","1492","6945","428","4453","1846","436","1791","10630","2851","435","472","420","502","1011","229","297","840","248","9970","4075"
"ENSG00000167618.10","2","4","35","4","58","8","4","1","62","5","2","11","0","0","1","4","0","3","0","167","3"
